Total Banks,Micro-finance Oriented Banks,Population,Banks Per Capita,Region
42,0,4404288,9.536161122978334e-06,Autonomous Region in Muslim Mindanao  (ARMM)
212,3,1797660,0.0001179310881924,Cordillera Administrative Region  (CAR)
3808,23,13484462,0.0002823991049846,National Capital Region  (NCR)
682,8,5301139,0.0001286515973265,Region I  (Ilocos Region)
483,10,3685744,0.0001310454551374,Region II  (Cagayan Valley)
1388,6,12422172,0.0001117356932426,Region III  (Central Luzon)
1923,23,16195042,0.0001187400440208,Region IV-A  (CALABARZON)
328,13,3228558,0.0001015933429103,MIMAROPA Region
282,1,3875576,7.27633776243841e-05,Region IX  (Zamboanga Peninsula)
601,18,6082165,9.881349815402904e-05,Region V  (Bicol Region)
803,12,7954723,0.0001009463183067,Region VI  (Western Visayas)
926,9,8081988,0.0001145757702189,Region VII  (Central Visayas)
314,12,4547150,6.905424276744774e-05,Region VIII  (Eastern Visayas)
466,2,5022768,9.277752824737276e-05,Region X  (Northern Mindanao)
520,8,5243536,9.916972058549803e-05,Region XI  (Davao Region)
310,3,5022768,6.171895655941106e-05,Region XII  (SOCCSKSARGEN)
260,4,2804788,9.269862820291587e-05,Region XIII  (Caraga)
