Total Income,Total Expenditure,Region
16805.775619843924,13737.308057811751,Autonomous Region in Muslim Mindanao  (ARMM)
28856.230106198283,20052.022647754136,Cordillera Administrative Region  (CAR)
41883.94014395038,31128.79999710005,National Capital Region  (NCR)
31035.87930247522,20798.759573955424,Region I  (Ilocos Region)
26769.226409977786,18207.73956292862,Region II  (Cagayan Valley)
30769.789101417136,24413.29541118673,Region III  (Central Luzon)
33486.033287661434,25019.46445786333,Region IV-A  (CALABARZON)
23119.51370078306,16721.966932741445,MIMAROPA Region
21871.53463206845,17047.536771329364,Region IX  (Zamboanga Peninsula)
22960.70854582012,16914.71456709712,Region V  (Bicol Region)
26447.08004877523,19892.58535096627,Region VI  (Western Visayas)
28578.413366069504,19047.55140846464,Region VII  (Central Visayas)
24401.71666220122,17739.940179104964,Region VIII  (Eastern Visayas)
25544.299845530157,17940.973973841476,Region X  (Northern Mindanao)
23037.7249489388,15455.67796545646,Region IX  (Zamboanga Peninsula)
22801.39601150155,16508.36631303509,Region XII  (SOCCSKSARGEN)
23413.458203282673,17855.486695601136,Region XIII  (Caraga)
